index,B1_stim,B1_condition,B1_correct,B2_stim,B2_condition,B2_correct,sig_volume,b1_instuctions.thisRepN,b1_instuctions.thisTrialN,b1_instuctions.thisN,b1_instuctions.thisIndex,B1_trials.thisRepN,B1_trials.thisTrialN,B1_trials.thisN,B1_trials.thisIndex,B2_instr.thisRepN,B2_instr.thisTrialN,B2_instr.thisN,B2_instr.thisIndex,B2_trials.thisRepN,B2_trials.thisTrialN,B2_trials.thisN,B2_trials.thisIndex,B1_resp.keys,B1_resp.corr,B1_resp.rt,RT_list,B2_resp.keys,B2_resp.corr,B2_resp.rt,B1_mean_rt,signal.started,signal.stopped,participant,session,date,expName,psychopyVersion,frameRate,
15,Lettuce,Nonanimals,j,,,,,,,,,0,0,0,15,,,,,,,,,j,1,0.6742824000002656,[0.6742824000002656],,,,,,,1,001,2019_Nov_07_0930,SST 10-9-19,3.1.5,60.00157204115213,
9,Squirrel,Animals,f,,,,,,,,,0,1,1,9,,,,,,,,,f,1,0.5771968999997625,"[0.6742824000002656, 0.5771968999997625]",,,,,,,1,001,2019_Nov_07_0930,SST 10-9-19,3.1.5,60.00157204115213,
18,Desk,Nonanimals,j,,,,,,,,,0,2,2,18,,,,,,,,,j,1,0.6867045999997572,"[0.6742824000002656, 0.5771968999997625, 0.6867045999997572]",,,,,,,1,001,2019_Nov_07_0930,SST 10-9-19,3.1.5,60.00157204115213,
7,Rat,Animals,f,,,,,,,,,0,3,3,7,,,,,,,,,f,1,0.5017823999996835,"[0.6742824000002656, 0.5771968999997625, 0.6867045999997572, 0.5017823999996835]",,,,,,,1,001,2019_Nov_07_0930,SST 10-9-19,3.1.5,60.00157204115213,
10,Toad,Animals,f,,,,,,,,,0,4,4,10,,,,,,,,,f,1,0.49749940000037896,"[0.6742824000002656, 0.5771968999997625, 0.6867045999997572, 0.5017823999996835, 0.49749940000037896]",,,,,,,1,001,2019_Nov_07_0930,SST 10-9-19,3.1.5,60.00157204115213,
22,Drill,Nonanimals,j,,,,,,,,,0,5,5,22,,,,,,,,,j,1,0.5411623999998483,"[0.6742824000002656, 0.5771968999997625, 0.6867045999997572, 0.5017823999996835, 0.49749940000037896, 0.5411623999998483]",,,,,,,1,001,2019_Nov_07_0930,SST 10-9-19,3.1.5,60.00157204115213,
6,Parrot,Animals,f,,,,,,,,,0,6,6,6,,,,,,,,,f,1,0.9067742999995971,"[0.6742824000002656, 0.5771968999997625, 0.6867045999997572, 0.5017823999996835, 0.49749940000037896, 0.5411623999998483, 0.9067742999995971]",,,,,,,1,001,2019_Nov_07_0930,SST 10-9-19,3.1.5,60.00157204115213,
13,Subway,Nonanimals,j,,,,,,,,,0,7,7,13,,,,,,,,,j,1,0.6447986999992281,"[0.6742824000002656, 0.5771968999997625, 0.6867045999997572, 0.5017823999996835, 0.49749940000037896, 0.5411623999998483, 0.9067742999995971, 0.6447986999992281]",,,,,,,1,001,2019_Nov_07_0930,SST 10-9-19,3.1.5,60.00157204115213,
11,Zebra,Animals,f,,,,,,,,,0,8,8,11,,,,,,,,,f,1,0.4818196000005628,"[0.6742824000002656, 0.5771968999997625, 0.6867045999997572, 0.5017823999996835, 0.49749940000037896, 0.5411623999998483, 0.9067742999995971, 0.6447986999992281, 0.4818196000005628]",,,,,,,1,001,2019_Nov_07_0930,SST 10-9-19,3.1.5,60.00157204115213,
19,Truck,Nonanimals,j,,,,,,,,,0,9,9,19,,,,,,,,,j,1,0.7081385999999839,"[0.6742824000002656, 0.5771968999997625, 0.6867045999997572, 0.5017823999996835, 0.49749940000037896, 0.5411623999998483, 0.9067742999995971, 0.6447986999992281, 0.4818196000005628, 0.7081385999999839]",,,,,,,1,001,2019_Nov_07_0930,SST 10-9-19,3.1.5,60.00157204115213,
23,Saw,Nonanimals,j,,,,,,,,,0,10,10,23,,,,,,,,,j,1,0.9301718000006076,"[0.6742824000002656, 0.5771968999997625, 0.6867045999997572, 0.5017823999996835, 0.49749940000037896, 0.5411623999998483, 0.9067742999995971, 0.6447986999992281, 0.4818196000005628, 0.7081385999999839, 0.9301718000006076]",,,,,,,1,001,2019_Nov_07_0930,SST 10-9-19,3.1.5,60.00157204115213,
21,Garlic,Nonanimals,j,,,,,,,,,0,11,11,21,,,,,,,,,j,1,0.7858194000000367,"[0.6742824000002656, 0.5771968999997625, 0.6867045999997572, 0.5017823999996835, 0.49749940000037896, 0.5411623999998483, 0.9067742999995971, 0.6447986999992281, 0.4818196000005628, 0.7081385999999839, 0.9301718000006076, 0.7858194000000367]",,,,,,,1,001,2019_Nov_07_0930,SST 10-9-19,3.1.5,60.00157204115213,
0,Armadillo,Animals,f,,,,,,,,,0,12,12,0,,,,,,,,,f,1,0.5800853999999163,"[0.6742824000002656, 0.5771968999997625, 0.6867045999997572, 0.5017823999996835, 0.49749940000037896, 0.5411623999998483, 0.9067742999995971, 0.6447986999992281, 0.4818196000005628, 0.7081385999999839, 0.9301718000006076, 0.7858194000000367, 0.5800853999999163]",,,,,,,1,001,2019_Nov_07_0930,SST 10-9-19,3.1.5,60.00157204115213,
8,Sea Lion,Animals,f,,,,,,,,,0,13,13,8,,,,,,,,,f,1,0.6006717999998727,"[0.6742824000002656, 0.5771968999997625, 0.6867045999997572, 0.5017823999996835, 0.49749940000037896, 0.5411623999998483, 0.9067742999995971, 0.6447986999992281, 0.4818196000005628, 0.7081385999999839, 0.9301718000006076, 0.7858194000000367, 0.5800853999999163, 0.6006717999998727]",,,,,,,1,001,2019_Nov_07_0930,SST 10-9-19,3.1.5,60.00157204115213,
14,Blueberry,Nonanimals,j,,,,,,,,,0,14,14,14,,,,,,,,,j,1,0.6475683999997273,"[0.6742824000002656, 0.5771968999997625, 0.6867045999997572, 0.5017823999996835, 0.49749940000037896, 0.5411623999998483, 0.9067742999995971, 0.6447986999992281, 0.4818196000005628, 0.7081385999999839, 0.9301718000006076, 0.7858194000000367, 0.5800853999999163, 0.6006717999998727, 0.6475683999997273]",,,,,,,1,001,2019_Nov_07_0930,SST 10-9-19,3.1.5,60.00157204115213,
