B1_stim,B1_condition,B1_correct,B1_instr.thisRepN,B1_instr.thisTrialN,B1_instr.thisN,B1_instr.thisIndex,B1_trials.thisRepN,B1_trials.thisTrialN,B1_trials.thisN,B1_trials.thisIndex,B1_resp.keys,B1_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
Armadillo,Animals,f,,,,,0,0,0,0,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
Screwdriver,Nonanimals,j,,,,,0,1,1,16,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
Catepillar,Animals,f,,,,,0,2,2,1,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
Drill,Nonanimals,j,,,,,0,3,3,22,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
Leopard,Animals,f,,,,,0,4,4,3,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
Rat,Animals,f,,,,,0,5,5,7,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
Toad,Animals,f,,,,,0,6,6,10,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
Table,Nonanimals,j,,,,,0,7,7,12,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
Lettuce,Nonanimals,j,,,,,0,8,8,15,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
Parrot,Animals,f,,,,,0,9,9,6,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
Zebra,Animals,f,,,,,0,10,10,11,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
Sea Lion,Animals,f,,,,,0,11,11,8,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
Saw,Nonanimals,j,,,,,0,12,12,23,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
Moose,Animals,f,,,,,0,13,13,4,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
Truck,Nonanimals,j,,,,,0,14,14,19,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
Desk,Nonanimals,j,,,,,0,15,15,18,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
Blueberry,Nonanimals,j,,,,,0,16,16,14,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
Penguin,Animals,f,,,,,0,17,17,5,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
Frog,Animals,f,,,,,0,18,18,2,None,0,1,001,2019_Oct_01_1425,SST,3.1.5,59.99606425811821,
