B1_stim,B1_condition,B1_correct,B1_instr.thisRepN,B1_instr.thisTrialN,B1_instr.thisN,B1_instr.thisIndex,B1_trials.thisRepN,B1_trials.thisTrialN,B1_trials.thisN,B1_trials.thisIndex,B2_instr.thisRepN,B2_instr.thisTrialN,B2_instr.thisN,B2_instr.thisIndex,index,instr_txt,cont_txt,B1_resp.keys,B1_resp.corr,B1_resp.started,B1_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Frog,Animals,f,,,,,0,0,0,2,,,,,,,,None,0,18.925038200002746,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Lettuce,Nonanimals,j,,,,,0,1,1,15,,,,,,,,None,0,21.42476020000322,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Drill,Nonanimals,j,,,,,0,2,2,22,,,,,,,,None,0,23.924925999999687,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Screwdriver,Nonanimals,j,,,,,0,3,3,16,,,,,,,,None,0,26.42485300000044,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Parrot,Animals,f,,,,,0,4,4,6,,,,,,,,None,0,28.925015300002997,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Catepillar,Animals,f,,,,,0,5,5,1,,,,,,,,None,0,31.42477300000246,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Leopard,Animals,f,,,,,0,6,6,3,,,,,,,,None,0,33.924728400001186,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Shorts,Nonanimals,j,,,,,0,7,7,17,,,,,,,,None,0,36.42465530000118,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Garlic,Nonanimals,j,,,,,0,8,8,21,,,,,,,,None,0,38.92483429999993,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Table,Nonanimals,j,,,,,0,9,9,12,,,,,,,,None,0,41.42449590000251,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Blueberry,Nonanimals,j,,,,,0,10,10,14,,,,,,,,None,0,43.924452200000815,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Penguin,Animals,f,,,,,0,11,11,5,,,,,,,,None,0,46.424331600002915,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Truck,Nonanimals,j,,,,,0,12,12,19,,,,,,,,None,0,48.92421070000273,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Zebra,Animals,f,,,,,0,13,13,11,,,,,,,,None,0,51.42431360000046,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Moose,Animals,f,,,,,0,14,14,4,,,,,,,,None,0,53.924082100002124,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Sea Lion,Animals,f,,,,,0,15,15,8,,,,,,,,None,0,56.42420910000146,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Rat,Animals,f,,,,,0,16,16,7,,,,,,,,None,0,58.92415760000222,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Saw,Nonanimals,j,,,,,0,17,17,23,,,,,,,,None,0,61.42407860000094,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Squirrel,Animals,f,,,,,0,18,18,9,,,,,,,,None,0,63.92401560000144,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Toad,Animals,f,,,,,0,19,19,10,,,,,,,,None,0,66.42419530000188,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Desk,Nonanimals,j,,,,,0,20,20,18,,,,,,,,None,0,68.92388399999982,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Tomato,Nonanimals,j,,,,,0,21,21,20,,,,,,,,None,0,71.42381930000192,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Armadillo,Animals,f,,,,,0,22,22,0,,,,,,,,None,0,73.92382980000184,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
Subway,Nonanimals,j,,,,,0,23,23,13,,,,,,,,None,0,76.42400910000288,None,1,001,2019_Oct_01_1436,SST,3.1.5,60.03143245801845,
