index,B1_stim,B1_condition,B1_correct,b1_instuctions.thisRepN,b1_instuctions.thisTrialN,b1_instuctions.thisN,b1_instuctions.thisIndex,B1_trials.thisRepN,B1_trials.thisTrialN,B1_trials.thisN,B1_trials.thisIndex,B2_instr.thisRepN,B2_instr.thisTrialN,B2_instr.thisN,B2_instr.thisIndex,B2_trials.thisRepN,B2_trials.thisTrialN,B2_trials.thisN,B2_trials.thisIndex,B2_stim,B2_condition,B2_correct,sig_volume,B1_resp.keys,B1_resp.corr,B1_resp.rt,RT_list,participant,session,date,expName,psychopyVersion,frameRate,
19,Truck,Nonanimals,j,,,,,0,0,0,19,,,,,,,,,,,,,f,0,1.3817162999999937,[1.3817162999999937],,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
16,Screwdriver,Nonanimals,j,,,,,0,1,1,16,,,,,,,,,,,,,f,0,0.4896469000000252,"[1.3817162999999937, 0.4896469000000252]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
20,Tomato,Nonanimals,j,,,,,0,2,2,20,,,,,,,,,,,,,f,0,0.23330109999994875,"[1.3817162999999937, 0.4896469000000252, 0.23330109999994875]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
5,Penguin,Animals,f,,,,,0,3,3,5,,,,,,,,,,,,,f,1,0.32466619999991053,"[1.3817162999999937, 0.4896469000000252, 0.23330109999994875, 0.32466619999991053]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
12,Table,Nonanimals,j,,,,,0,4,4,12,,,,,,,,,,,,,f,0,0.24602119999997285,"[1.3817162999999937, 0.4896469000000252, 0.23330109999994875, 0.32466619999991053, 0.24602119999997285]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
7,Rat,Animals,f,,,,,0,5,5,7,,,,,,,,,,,,,f,1,0.23599479999995765,"[1.3817162999999937, 0.4896469000000252, 0.23330109999994875, 0.32466619999991053, 0.24602119999997285, 0.23599479999995765]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
0,Armadillo,Animals,f,,,,,0,6,6,0,,,,,,,,,,,,,f,1,0.22763710000003812,"[1.3817162999999937, 0.4896469000000252, 0.23330109999994875, 0.32466619999991053, 0.24602119999997285, 0.23599479999995765, 0.22763710000003812]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
9,Squirrel,Animals,f,,,,,0,7,7,9,,,,,,,,,,,,,f,1,0.327838799999995,"[1.3817162999999937, 0.4896469000000252, 0.23330109999994875, 0.32466619999991053, 0.24602119999997285, 0.23599479999995765, 0.22763710000003812, 0.327838799999995]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
3,Leopard,Animals,f,,,,,0,8,8,3,,,,,,,,,,,,,None,0,,"[1.3817162999999937, 0.4896469000000252, 0.23330109999994875, 0.32466619999991053, 0.24602119999997285, 0.23599479999995765, 0.22763710000003812, 0.327838799999995, []]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
10,Toad,Animals,f,,,,,0,9,9,10,,,,,,,,,,,,,f,1,-1.3568648000000394,"[1.3817162999999937, 0.4896469000000252, 0.23330109999994875, 0.32466619999991053, 0.24602119999997285, 0.23599479999995765, 0.22763710000003812, 0.327838799999995, [], -1.3568648000000394]",,001,2020_Jan_02_0835,SST 1-2-20,3.1.5,59.841360553159106,
