index,B1_stim,B1_condition,B1_correct,B2_stim,B2_condition,B2_correct,sig_volume,b1_instuctions.thisRepN,b1_instuctions.thisTrialN,b1_instuctions.thisN,b1_instuctions.thisIndex,B1_trials.thisRepN,B1_trials.thisTrialN,B1_trials.thisN,B1_trials.thisIndex,B2_instr.thisRepN,B2_instr.thisTrialN,B2_instr.thisN,B2_instr.thisIndex,B2_trials.thisRepN,B2_trials.thisTrialN,B2_trials.thisN,B2_trials.thisIndex,B1_resp.keys,B1_resp.corr,RT_list,B2_resp.keys,B2_resp.corr,signal.started,signal.stopped,B2_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
4,Moose,Animals,f,,,,,,,,,0,0,0,4,,,,,,,,,None,0,[[]],,,,,,,001,2020_Jan_02_0839,SST 1-2-20,3.1.5,60.19505605966146,
6,Parrot,Animals,f,,,,,,,,,0,1,1,6,,,,,,,,,None,0,"[[], []]",,,,,,,001,2020_Jan_02_0839,SST 1-2-20,3.1.5,60.19505605966146,
7,Rat,Animals,f,,,,,,,,,0,2,2,7,,,,,,,,,None,0,"[[], [], []]",,,,,,,001,2020_Jan_02_0839,SST 1-2-20,3.1.5,60.19505605966146,
19,Truck,Nonanimals,j,,,,,,,,,0,3,3,19,,,,,,,,,None,0,"[[], [], [], []]",,,,,,,001,2020_Jan_02_0839,SST 1-2-20,3.1.5,60.19505605966146,
1,Catepillar,Animals,f,,,,,,,,,0,4,4,1,,,,,,,,,None,0,"[[], [], [], [], []]",,,,,,,001,2020_Jan_02_0839,SST 1-2-20,3.1.5,60.19505605966146,
18,Desk,Nonanimals,j,,,,,,,,,0,5,5,18,,,,,,,,,None,0,"[[], [], [], [], [], []]",,,,,,,001,2020_Jan_02_0839,SST 1-2-20,3.1.5,60.19505605966146,
20,Tomato,Nonanimals,j,,,,,,,,,0,6,6,20,,,,,,,,,None,0,"[[], [], [], [], [], [], []]",,,,,,,001,2020_Jan_02_0839,SST 1-2-20,3.1.5,60.19505605966146,
8,Sea Lion,Animals,f,,,,,,,,,0,7,7,8,,,,,,,,,None,0,"[[], [], [], [], [], [], [], []]",,,,,,,001,2020_Jan_02_0839,SST 1-2-20,3.1.5,60.19505605966146,
23,Saw,Nonanimals,j,,,,,,,,,0,8,8,23,,,,,,,,,None,0,"[[], [], [], [], [], [], [], [], []]",,,,,,,001,2020_Jan_02_0839,SST 1-2-20,3.1.5,60.19505605966146,
21,Garlic,Nonanimals,j,,,,,,,,,0,9,9,21,,,,,,,,,None,0,"[[], [], [], [], [], [], [], [], [], []]",,,,,,,001,2020_Jan_02_0839,SST 1-2-20,3.1.5,60.19505605966146,
