index,B1_stim,B1_condition,B1_correct,B2_stim,B2_condition,B2_correct,sig_volume,b1_instuctions.thisRepN,b1_instuctions.thisTrialN,b1_instuctions.thisN,b1_instuctions.thisIndex,B1_trials.thisRepN,B1_trials.thisTrialN,B1_trials.thisN,B1_trials.thisIndex,B2_instr.thisRepN,B2_instr.thisTrialN,B2_instr.thisN,B2_instr.thisIndex,B2_trials.thisRepN,B2_trials.thisTrialN,B2_trials.thisN,B2_trials.thisIndex,B1_resp.keys,B1_resp.corr,RT_list,B2_resp.keys,B2_resp.corr,signal.started,signal.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,Armadillo,Animals,f,,,,,,,,,0,0,0,0,,,,,,,,,None,0,[[]],,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
12,Table,Nonanimals,j,,,,,,,,,0,1,1,12,,,,,,,,,None,0,"[[], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
3,Leopard,Animals,f,,,,,,,,,0,2,2,3,,,,,,,,,None,0,"[[], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
6,Parrot,Animals,f,,,,,,,,,0,3,3,6,,,,,,,,,None,0,"[[], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
2,Frog,Animals,f,,,,,,,,,0,4,4,2,,,,,,,,,None,0,"[[], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
15,Lettuce,Nonanimals,j,,,,,,,,,0,5,5,15,,,,,,,,,None,0,"[[], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
9,Squirrel,Animals,f,,,,,,,,,0,6,6,9,,,,,,,,,None,0,"[[], [], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
23,Saw,Nonanimals,j,,,,,,,,,0,7,7,23,,,,,,,,,None,0,"[[], [], [], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
7,Rat,Animals,f,,,,,,,,,0,8,8,7,,,,,,,,,None,0,"[[], [], [], [], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
11,Zebra,Animals,f,,,,,,,,,0,9,9,11,,,,,,,,,None,0,"[[], [], [], [], [], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
21,Garlic,Nonanimals,j,,,,,,,,,0,10,10,21,,,,,,,,,None,0,"[[], [], [], [], [], [], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
8,Sea Lion,Animals,f,,,,,,,,,0,11,11,8,,,,,,,,,None,0,"[[], [], [], [], [], [], [], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
14,Blueberry,Nonanimals,j,,,,,,,,,0,12,12,14,,,,,,,,,None,0,"[[], [], [], [], [], [], [], [], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
10,Toad,Animals,f,,,,,,,,,0,13,13,10,,,,,,,,,None,0,"[[], [], [], [], [], [], [], [], [], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
17,Shorts,Nonanimals,j,,,,,,,,,0,14,14,17,,,,,,,,,None,0,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
20,Tomato,Nonanimals,j,,,,,,,,,0,15,15,20,,,,,,,,,None,0,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
22,Drill,Nonanimals,j,,,,,,,,,0,16,16,22,,,,,,,,,None,0,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
5,Penguin,Animals,f,,,,,,,,,0,17,17,5,,,,,,,,,None,0,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
1,Catepillar,Animals,f,,,,,,,,,0,18,18,1,,,,,,,,,None,0,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
13,Subway,Nonanimals,j,,,,,,,,,0,19,19,13,,,,,,,,,None,0,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
4,Moose,Animals,f,,,,,,,,,0,20,20,4,,,,,,,,,None,0,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
16,Screwdriver,Nonanimals,j,,,,,,,,,0,21,21,16,,,,,,,,,None,0,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
19,Truck,Nonanimals,j,,,,,,,,,0,22,22,19,,,,,,,,,None,0,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
18,Desk,Nonanimals,j,,,,,,,,,0,23,23,18,,,,,,,,,None,0,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",,,,,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
0,,,,Antelope,Animals,f,1,,,,,,,,,,,,,0,0,0,0,,,,None,0,0.019984400000794267,0.11874970000008034,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
1,,,,Anteater,Animals,f,0,,,,,,,,,,,,,0,1,1,1,,,,None,0,0.019208800000342308,0.11425820000022213,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
2,,,,Aardvark,Animals,f,0,,,,,,,,,,,,,0,2,2,2,,,,None,0,0.01947539999946457,0.11676519999946322,,001,2020_Jan_02_1012,SST 1-2-20,3.1.5,59.98649104224866,
