B1_stim,B1_condition,B1_correct,B1_instr.thisRepN,B1_instr.thisTrialN,B1_instr.thisN,B1_instr.thisIndex,B1_trials.thisRepN,B1_trials.thisTrialN,B1_trials.thisN,B1_trials.thisIndex,B2_instr.thisRepN,B2_instr.thisTrialN,B2_instr.thisN,B2_instr.thisIndex,B2_trials.thisRepN,B2_trials.thisTrialN,B2_trials.thisN,B2_trials.thisIndex,B2_stim,B2_condition,B2_correct,B1_resp.keys,B1_resp.corr,B1_resp.rt,B1_resp.started,B1_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Leopard,Animals,f,,,,,0,0,0,3,,,,,,,,,,,,f,1,0.5881678000005195,13.551772599999822,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Desk,Nonanimals,j,,,,,0,1,1,18,,,,,,,,,,,,j,1,0.6984859999975015,15.185249099999055,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Moose,Animals,f,,,,,0,2,2,4,,,,,,,,,,,,f,1,0.637248200000613,16.918559699999605,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Truck,Nonanimals,j,,,,,0,3,3,19,,,,,,,,,,,,j,1,0.5858790000020235,18.601844799999526,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Toad,Animals,f,,,,,0,4,4,10,,,,,,,,,,,,j,0,0.7047925000006217,20.235128099997382,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Garlic,Nonanimals,j,,,,,0,5,5,21,,,,,,,,,,,,j,1,0.6347094000011566,21.98510779999924,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Catepillar,Animals,f,,,,,0,6,6,1,,,,,,,,,,,,f,1,0.6239564000024984,23.651746699997602,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Parrot,Animals,f,,,,,0,7,7,6,,,,,,,,,,,,f,1,0.7010585000025458,25.31862739999997,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Drill,Nonanimals,j,,,,,0,8,8,22,,,,,,,,,,,,j,1,0.5601556999972672,27.05163729999913,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Saw,Nonanimals,j,,,,,0,9,9,23,,,,,,,,,,,,j,1,0.5920846000008169,28.651623499998095,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Armadillo,Animals,f,,,,,0,10,10,0,,,,,,,,,,,,f,1,0.5348186000010173,30.284899599999335,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Shorts,Nonanimals,j,,,,,0,11,11,17,,,,,,,,,,,,j,1,0.5921563000010792,31.851565299999493,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Lettuce,Nonanimals,j,,,,,0,12,12,15,,,,,,,,,,,,j,1,0.5348990999991656,33.48483679999845,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Sea Lion,Animals,f,,,,,0,13,13,8,,,,,,,,,,,,f,1,0.680319099999906,35.05147819999911,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Penguin,Animals,f,,,,,0,14,14,5,,,,,,,,,,,,f,1,0.54781489999732,36.76791939999748,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Table,Nonanimals,j,,,,,0,15,15,12,,,,,,,,,,,,j,1,0.5801902999992308,38.35138829999778,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Rat,Animals,f,,,,,0,16,16,7,,,,,,,,,,,,f,1,0.619615799998428,39.968048899998394,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Frog,Animals,f,,,,,0,17,17,2,,,,,,,,,,,,f,1,0.5215022999982466,41.634501999997156,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Squirrel,Animals,f,,,,,0,18,18,9,,,,,,,,,,,,f,1,0.5784664000020712,43.2012751000002,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Screwdriver,Nonanimals,j,,,,,0,19,19,16,,,,,,,,,,,,j,1,0.5698111999990942,44.8179175999976,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Tomato,Nonanimals,j,,,,,0,20,20,20,,,,,,,,,,,,j,1,0.6570423000011942,46.43457479999779,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Zebra,Animals,f,,,,,0,21,21,11,,,,,,,,,,,,f,1,0.5572986000006495,48.13452219999817,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Blueberry,Nonanimals,j,,,,,0,22,22,14,,,,,,,,,,,,j,1,0.6853009999977075,49.73446469999908,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
Subway,Nonanimals,j,,,,,0,23,23,13,,,,,,,,,,,,j,1,0.6488724000009825,51.451123599999846,None,,001,2019_Oct_01_1439,SST,3.1.5,59.970770246984046,
